month,arbitrage_revenue_yuan,service_capacity_revenue_yuan,service_delivery_revenue_yuan,service_penalty_yuan,degradation_cost_yuan,transformer_penalty_yuan,voltage_penalty_yuan,demand_saving_yuan,net_operating_cashflow_yuan
1,197962.71474736594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197962.71474736594
2,161321.10351388954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161321.10351388954
3,194046.92953165626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194046.92953165626
4,195440.8655728752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195440.8655728752
5,202691.17000087598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202691.17000087598
6,197016.97559910864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197016.97559910864
7,192394.54863100167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192394.54863100167
8,208073.57159754809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208073.57159754809
9,184310.3433804404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184310.3433804404
10,201813.7119906208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201813.7119906208
11,195303.59224898787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195303.59224898787
12,212264.89684318818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212264.89684318818
